,Name,Rating,Reviews,Jobs,Salary_reviews,Highly_rated,Poorly_rated,Details
162,Whitehat jr,3.5,2.7k,514,9.4k,Job Security,NaN,EdTech | 5k-10k Employees | Startup | 5 years old | Mumbai +49 more
163,Varun Beverages,4.0,2.7k,91,9.2k,"Job Security, Salary & Benefits",NaN,Beverage | 5k-10k Employees | Public | 28 years old | Gurgaon/Gurugram +258 more
164,Thermax Limited,4.2,2.7k,41,11.7k,"Job Security, Company Culture, Skill Development / Learning",NaN,Industrial Machinery | 1k-5k Employees | Public | 57 years old | Pune +159 more
165,Hetero Drugs,3.8,2.7k,25,13.4k,Job Security,NaN,Pharma | 1k-5k Employees | 30 years old | Hyderabad/Secunderabad +38 more
166,Deutsche Bank,4.1,2.7k,695,28.5k,"Job Security, Work Life Balance, Company Culture",NaN,Banking | 10k-50k Employees | Fortune India 500 | 153 years old | Frankfurt +34 more
167,Randstad,3.9,2.7k,2.3k,12.7k,NaN,NaN,Recruitment | 5k-10k Employees | Conglomerate | 31 years old | Chennai +234 more
168,Ford Motor,4.4,2.7k,51,14k,"Company Culture, Work Life Balance, Salary & Benefits",NaN,Automobile | 5k-10k Employees | Public | 120 years old | Dearborn +105 more
169,Havells,4.1,2.7k,59,11.7k,"Work Life Balance, Salary & Benefits, Company Culture",NaN,Electrical Equipment | 5k-10k Employees | Public | 40 years old | Noida +167 more
170,Sodexo,4.1,2.7k,94,9.7k,"Skill Development / Learning, Company Culture, Work Life Balance",NaN,Facility Management Services | 10k-50k Employees | Forbes Global 2000 | 15 years old | Issy les Moulineaux +127 more
171,Abbott Healthcare,4.1,2.6k,65,10.4k,"Company Culture, Salary & Benefits, Work Life Balance",NaN,Pharma | 10k-50k Employees | Public | 32 years old | Illinois City +167 more
172,Persistent Systems,3.8,2.6k,87,27.6k,"Company Culture, Skill Development / Learning, Work Life Balance",NaN,IT Services & Consulting | 10k-50k Employees | Public | 33 years old | Pune +28 more
173,Subros,3.9,2.6k,6,12.4k,"Job Security, Skill Development / Learning, Company Culture",NaN,Auto Components | 1k-5k Employees | Public | 38 years old | Noida +53 more
174,Macleods Pharmaceuticals,3.8,2.6k,--,13.3k,Job Security,NaN,Pharma | 10k-50k Employees | Public | 37 years old | Mumbai +90 more
175,CARS24,3.6,2.6k,286,11.6k,NaN,NaN,Internet | 5k-10k Employees | Indian Unicorn | 8 years old | Gurgaon +143 more
176,VE Commercial Vehicles,4.0,2.6k,11,12.3k,"Job Security, Skill Development / Learning, Company Culture",NaN,Automobile | 1k-5k Employees | 15 years old | Gurgaon/Gurugram +123 more
177,Automatic Data Processing (ADP),4.1,2.6k,36,19k,"Job Security, Company Culture, Work Life Balance",NaN,Software Product | 1k-5k Employees | Forbes Global 2000 | 74 years old | New Jersey +21 more
178,American Express,4.3,2.6k,102,18.8k,"Company Culture, Work Life Balance, Job Security",NaN,Financial Services | 10k-50k Employees | Forbes Global 2000 | 173 years old | New York City +41 more
179,UnitedHealth,4.1,2.6k,10,22.7k,"Job Security, Work Life Balance, Company Culture",NaN,Healthcare | 10k-50k Employees | Forbes Global 2000 | 46 years old | Minnetonka +14 more
180,Standard Chartered Bank,3.9,2.5k,30,24.9k,"Job Security, Company Culture",NaN,Banking | 10k-50k Employees | Fortune India 500 | 54 years old | London +56 more
181,Team Lease,3.9,2.5k,267,13.7k,NaN,NaN,Recruitment | 1k-5k Employees | Public | 7 years old | Bangalore/Bengaluru +283 more
182,Cgi Group,4.1,2.5k,132,29.7k,"Job Security, Company Culture, Work Life Balance",NaN,IT Services & Consulting | 10k-50k Employees | Forbes Global 2000 | 47 years old | Montreal +20 more
183,Pidilite Industries,4.4,2.5k,39,9k,"Job Security, Company Culture, Work Life Balance",NaN,Chemicals | 5k-10k Employees | Public | 64 years old | Mumbai +217 more
184,Atos,3.8,2.5k,6,25.9k,"Work Life Balance, Job Security",NaN,IT Services & Consulting | 201-500 Employees | Forbes Global 2000 | 26 years old | Vilnius +37 more
185,Bharat Electronics,4.1,2.5k,--,11.2k,"Work Life Balance, Company Culture, Skill Development / Learning",NaN,Electronics Manufacturing | 5k-10k Employees | Fortune India 500 | 69 years old | Bangalore/Bengaluru +41 more
186,Publicis Sapient,3.6,2.5k,188,24.9k,NaN,NaN,IT Services & Consulting | 10k-50k Employees | 33 years old | New York +22 more
187,Alkem Laboratories,3.9,2.5k,27,8.8k,NaN,NaN,Pharma | 10k-50k Employees | Public | 50 years old | Mumbai +145 more
188,Hindalco Industries,4.2,2.5k,7,9.3k,"Job Security, Skill Development / Learning, Company Culture",NaN,Metals & Mining | 10k-50k Employees | Public | 65 years old | Mumbai +77 more
189,Indian Air Force,4.6,2.5k,--,5.1k,"Job Security, Skill Development / Learning, Salary & Benefits",NaN,Defence & Aerospace | 1 Lakh+ Employees | 91 years old | New Delhi +109 more
190,Alembic Pharmaceuticals,4.0,2.5k,36,12.9k,"Salary & Benefits, Work Life Balance",NaN,Pharma | 10k-50k Employees | Public | 116 years old | Vadodara/Baroda +133 more
191,R1 RCM,3.9,2.4k,31,14.9k,"Job Security, Company Culture, Work Life Balance",NaN,BPO | 5k-10k Employees | 20 years old | Murray +24 more
192,DCB Bank,3.9,2.4k,41,8.5k,"Job Security, Work Life Balance, Company Culture",NaN,Banking | 5k-10k Employees | Fortune India 500 | 93 years old | Mumbai +293 more
193,Access Healthcare,3.9,2.4k,37,16.9k,"Job Security, Company Culture",NaN,IT Services & Consulting | 5k-10k Employees | 12 years old | Dallas +27 more
194,Hindustan Coca Cola Beverages,4.3,2.4k,65,7.2k,"Skill Development / Learning, Job Security, Company Culture",NaN,Beverage | 5k-10k Employees | 26 years old | Bangalore +205 more
195,Wipro Infotech,4.1,2.4k,--,18k,"Job Security, Skill Development / Learning, Company Culture",NaN,IT Services & Consulting | 1 Lakh+ Employees (Global) | MNC | 78 years old | Bangalore +117 more
196,Vishal Mega Mart,3.8,2.4k,10,6.8k,Salary & Benefits,NaN,Retail | 10k-50k Employees | 15 years old | Gurgaon/Gurugram +306 more
197,ITC Infotech,3.5,2.4k,88,25.5k,Promotions / Appraisal,NaN,IT Services & Consulting | 10k-50k Employees | 23 years old | Bangalore/Bengaluru +47 more
198,Barclays,4.1,2.4k,43,19.8k,"Job Security, Company Culture, Work Life Balance",NaN,Banking | 10k-50k Employees | Forbes Global 2000 | 333 years old | London +30 more
199,Tata AIA Life Insurance,4.1,2.4k,--,10.6k,"Job Security, Salary & Benefits, Skill Development / Learning",NaN,Insurance | 10k-50k Employees | 22 years old | Mumbai +287 more
200,Glenmark Pharmaceuticals,4.0,2.4k,38,10.7k,"Job Security, Skill Development / Learning, Salary & Benefits",NaN,Pharma | 10k-50k Employees | Public | 46 years old | Mumbai +130 more
201,Maersk,4.3,2.4k,110,15.5k,"Work Life Balance, Company Culture, Job Security",NaN,Other | 10k-50k Employees | 119 years old | Copenhagen +31 more
202,ABB Group,4.1,2.4k,--,14.5k,"Job Security, Work Life Balance, Company Culture",NaN,Electrical Equipment | 1k-5k Employees | Public | 35 years old | Zurich +92 more
203,Wipro Consumer Care & Lighting,3.8,2.4k,32,2.8k,Job Security,NaN,FMCG | 1k-5k Employees | 78 years old | Bangalore/Bengaluru +87 more
204,Ipca Laboratories,4.0,2.4k,24,10.4k,"Job Security, Work Life Balance, Skill Development / Learning",NaN,Pharma | 10k-50k Employees | Public | 74 years old | Mumbai +116 more
205,Aakash Educational Services,3.6,2.4k,129,10.3k,NaN,NaN,EdTech | 10k-50k Employees | 35 years old | New Delhi +194 more
206,NatWest Group,4.1,2.4k,5,19k,"Work Life Balance, Job Security, Company Culture",NaN,Banking | 10k-50k Employees | Forbes Global 2000 | Gurgaon/Gurugram +22 more
207,Axis Direct,3.9,2.3k,15,7.3k,Skill Development / Learning,NaN,Financial Services | 1k-5k Employees | 12 years old | San Mateo +267 more
208,Bank of America,4.4,2.3k,1,21.8k,"Job Security, Work Life Balance, Company Culture",NaN,Banking | 10k-50k Employees | Fortune India 500 | 25 years old | Charlotte +27 more
209,CMS IT Services,3.1,2.3k,10,10.9k,"Promotions / Appraisal, Salary & Benefits, Company Culture",NaN,IT Services & Consulting | 5k-10k Employees | Startup | 9 years old | Bangalore +133 more
210,DTDC Express,3.8,2.3k,60,8.2k,NaN,NaN,Logistics | 1k-5k Employees | 33 years old | Bangalore/Bengaluru +219 more
211,MRF Tyres,3.7,2.3k,23,10.5k,Job Security,NaN,Auto Components | 10k-50k Employees | Public | 77 years old | Chennai +161 more
212,Aarti Industries,4.1,2.3k,57,12k,"Job Security, Work Life Balance, Skill Development / Learning",NaN,Agro Chemicals | 5k-10k Employees | Public | 48 years old | Mumbai +41 more
213,Honda Motorcycle & Scooter,4.2,2.3k,--,11.3k,"Job Security, Company Culture, Work Life Balance",NaN,Automobile | 10k-50k Employees | 24 years old | Gurgaon/Gurugram +198 more
214,Paras Hospital,4.6,2.3k,31,2.6k,"Skill Development / Learning, Company Culture, Work Life Balance",NaN,Healthcare | 5k-10k Employees | 17 years old | Gurgaon/Gurugram +41 more
215,24/7 Customer,3.6,2.3k,27,14.9k,NaN,NaN,BPO | 5k-10k Employees | 23 years old | San Jose +22 more
216,Jindal Steel and Power,3.9,2.3k,16,12k,"Skill Development / Learning, Job Security",NaN,Iron & Steel | 5k-10k Employees | Fortune India 500 | 44 years old | Delhi/NCR +101 more
217,Utkarsh Small Finance Bank,3.9,2.3k,9,8.3k,Job Security,NaN,Banking | 10k-50k Employees | Public | 14 years old | Varanasi +281 more
218,Berger Paints,3.7,2.3k,54,8k,Job Security,NaN,Chemicals | 1k-5k Employees | Public | 100 years old | Kolkata +216 more
219,Reliance Nippon Life Insurance,3.9,2.3k,4,8.2k,NaN,NaN,Insurance | 10k-50k Employees | 23 years old | Mumbai +419 more
220,HDFC Ergo General Insurance,4.0,2.3k,34,9.2k,"Job Security, Company Culture, Work Life Balance",NaN,Insurance | 10k-50k Employees | Public | 21 years old | Mumbai +215 more
221,Conduent,3.6,2.3k,70,19k,"Promotions / Appraisal, Salary & Benefits",NaN,BPO | 5k-10k Employees | 6 years old | Florham Park +20 more
222,PolicyBazaar,3.4,2.3k,110,12.1k,Work Life Balance,NaN,Internet | 10k-50k Employees | Public | 15 years old | Gurgaon +72 more
223,RBL Bank,3.7,2.3k,99,14.6k,NaN,NaN,Banking | 10k-50k Employees | Public | 80 years old | Mumbai +203 more
224,Escorts Kubota Limited,4.1,2.3k,--,10.1k,"Skill Development / Learning, Company Culture, Work Life Balance",NaN,Automobile | 1k-5k Employees | Public | 63 years old | Faridabad +123 more
225,Carelon Global Solutions,4.0,2.3k,7,18.5k,"Job Security, Salary & Benefits, Company Culture",NaN,IT Services & Consulting | 5k-10k Employees | Hyderabad/Secunderabad +9 more
226,Kotak Mahindara Life Insurance,3.9,2.2k,186,10.5k,Job Security,NaN,Insurance | 10k-50k Employees | Public | 22 years old | Mumbai +198 more
227,Marpu Foundation,4.8,2.2k,--,9,"Company Culture, Work Satisfaction, Skill Development / Learning",NaN,Non-Profit | 11-50 Employees | 7 years old | Hyderabad/Secunderabad +45 more
228,GeBBS Healthcare Solutions,3.7,2.2k,99,10.2k,Job Security,NaN,BPO | 5k-10k Employees | 18 years old | Culver City +15 more
229,Indiabulls Home Loans,3.8,2.2k,4,8.9k,NaN,NaN,NBFC | 5k-10k Employees | Public | 18 years old | Gurgaon/Gurugram +182 more
230,Ceat Tyres,4.0,2.2k,1,11.3k,"Job Security, Company Culture, Skill Development / Learning",NaN,Auto Components | 5k-10k Employees | Public | 65 years old | Mumbai +104 more
231,PNB MetLife,3.5,2.2k,608,6.8k,NaN,NaN,Insurance | 5k-10k Employees | Conglomerate | 22 years old | Mumbai +305 more
232,Cogent E Services,3.4,2.2k,2,8.4k,NaN,NaN,BPO | 10k-50k Employees | Conglomerate | 19 years old | Noida +32 more
233,GATI-KWE,4.0,2.2k,27,6.4k,"Skill Development / Learning, Job Security, Work Life Balance",NaN,Logistics | 1k-5k Employees | 11 years old | Hyderabad/Secunderabad +154 more
234,Shoppers Stop,4.2,2.2k,2,7.6k,"Job Security, Company Culture, Skill Development / Learning",NaN,Retail | 5k-10k Employees | Public | 32 years old | Mumbai +62 more
235,Indian Oil Corporation,4.4,2.2k,--,7.1k,"Company Culture, Work Life Balance, Skill Development / Learning",NaN,Oil & Gas | 10k-50k Employees | Fortune India 500 | 64 years old | Delhi/NCR +234 more
236,Dabur,3.8,2.2k,20,7.4k,NaN,NaN,FMCG | 5k-10k Employees | Public | 139 years old | Ghaziabad +234 more
237,Reliance Digital,4.2,2.2k,2,7.3k,"Skill Development / Learning, Job Security, Company Culture",NaN,Retail | 5k-10k Employees | 16 years old | Mumbai +287 more
238,ACC,3.9,2.2k,5,9.2k,NaN,NaN,Building Material | 5k-10k Employees | Public | 87 years old | Mumbai +204 more
239,JK Cement,4.1,2.2k,--,7.8k,"Salary & Benefits, Job Security, Company Culture",NaN,Building Material | 1k-5k Employees | Public | 49 years old | Gurgaon/Gurugram +217 more
240,Jubilant Foods Works,3.8,2.2k,119,7.3k,"Skill Development / Learning, Salary & Benefits",NaN,Food Processing | 10k-50k Employees | Public | 28 years old | Noida +181 more
241,IndiGo,3.6,2.2k,58,11.1k,NaN,NaN,Aviation | 10k-50k Employees | Fortune India 500 | 18 years old | Gurgaon/Gurugram +83 more
242,S&P Global,4.2,2.2k,5,14.6k,"Company Culture, Work Life Balance, Job Security",NaN,IT Services & Consulting | 5k-10k Employees | Public | 106 years old | New York City +22 more
243,HARMAN,3.8,2.1k,2,8.7k,Work Life Balance,NaN,Consumer Electronics & Appliances | 5k-10k Employees | Public | 14 years old | Stamford +27 more
244,Torrent Pharmaceuticals,3.9,2.1k,26,10k,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Pharma | 10k-50k Employees | Public | 52 years old | Ahmedabad +92 more
245,Reliance SMSL,4.0,2.1k,1,5.5k,"Skill Development / Learning, Salary & Benefits, Work Life Balance",NaN,BPO | 1k-5k Employees | Public | 16 years old | Mumbai +462 more
246,Birlasoft,3.8,2.1k,85,24.6k,NaN,NaN,IT Services & Consulting | 10k-50k Employees | Public | 28 years old | Pune +32 more
247,ArcelorMittal Nippon Steel,4.0,2.1k,7,8.6k,"Job Security, Skill Development / Learning, Work Life Balance",NaN,Iron & Steel | 5k-10k Employees | Conglomerate | Surat +62 more
248,Synechron,3.9,2.1k,61,22.3k,"Salary & Benefits, Skill Development / Learning, Company Culture",NaN,IT Services & Consulting | 5k-10k Employees | 22 years old | New York +23 more
249,Titan Company,4.4,2.1k,94,7.7k,"Company Culture, Job Security, Skill Development / Learning",NaN,Retail | 5k-10k Employees | Public | 39 years old | Bangalore +132 more
250,Bajaj Electricals,4.1,2.1k,50,8.1k,"Salary & Benefits, Work Life Balance, Company Culture",NaN,Consumer Electronics & Appliances | 1k-5k Employees | Public | 85 years old | Mumbai +183 more
251,KPIT Technologies,3.6,2.1k,5,18.2k,NaN,NaN,Software Product | 5k-10k Employees | Public | 33 years old | Pune +28 more
252,Lenskart,3.2,2.1k,212,8.7k,Promotions / Appraisal,NaN,Internet | 5k-10k Employees | Indian Unicorn | 13 years old | Faridabad +149 more
253,Wipro Enterprises Ltd,3.9,2.1k,--,5.6k,"Job Security, Skill Development / Learning, Company Culture",NaN,IT Services & Consulting | 501-1k Employees | 78 years old | Bangalore +78 more
254,Simplex Infrastructures,3.3,2.1k,13,7.3k,"Salary & Benefits, Promotions / Appraisal",NaN,Engineering & Construction | 1k-5k Employees | Public | 99 years old | Kolkata +130 more
255,Square Yards,3.9,2.1k,708,7.3k,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",NaN,Real Estate | 1k-5k Employees | 10 years old | Gurgaon +40 more
256,UPL,4.1,2.1k,42,9.7k,"Job Security, Skill Development / Learning, Work Life Balance",NaN,Agro Chemicals | 5k-10k Employees | Public | 54 years old | Mumbai +147 more
257,Statestreet HCL Services,3.2,2.1k,--,16.6k,Job Security,"Salary & Benefits, Promotions / Appraisal, Company Culture",BPO | 5k-10k Employees | 11 years old | New Delhi +16 more
258,Dilip Buildcon,4.0,2.1k,7,7.9k,Skill Development / Learning,NaN,Engineering & Construction | 10k-50k Employees | Public | 36 years old | Bhopal +175 more
259,Tech Mahindra Business Services,3.5,2.1k,4,11k,NaN,NaN,BPO | 5k-10k Employees | Public | 20 years old | Mumbai +43 more
260,AGS Health,4.0,2k,28,10.1k,"Job Security, Company Culture, Skill Development / Learning",NaN,BPO | 10k-50k Employees | 12 years old | Washington DC +32 more
261,Tata AIG,4.2,2k,102,9.3k,"Job Security, Company Culture, Skill Development / Learning",NaN,Insurance | 5k-10k Employees | 23 years old | Mumbai +211 more
262,Domino's Pizza,4.0,2k,2,4.8k,"Skill Development / Learning, Salary & Benefits, Company Culture",NaN,Hospitality | 1k-5k Employees | Public | 63 years old | Ypsilanti +210 more
263,Patanjali Ayurved,4.0,2k,1,8k,"Work Life Balance, Job Security",NaN,FMCG | 5k-10k Employees | Fortune India 500 | 17 years old | Haridwar +263 more
264,Huawei Technologies,4.0,2k,8,12.1k,"Salary & Benefits, Skill Development / Learning",NaN,IT Services & Consulting | 51-200 Employees | 21 years old | Gurgaon/Gurugram +93 more
265,Apollo Tyres,4.0,2k,17,8.8k,"Skill Development / Learning, Company Culture, Job Security",NaN,Auto Components | 10k-50k Employees | Public | 51 years old | Gurgaon/Gurugram +146 more
266,KocharTech,4.2,2k,67,3.8k,"Skill Development / Learning, Company Culture, Work Satisfaction",NaN,IT Services & Consulting | 1k-5k Employees | 28 years old | Gurgaon/Gurugram +23 more
267,Flex,4.1,2k,13,18.1k,"Company Culture, Work Life Balance, Job Security",NaN,Electronics Manufacturing | 5k-10k Employees | Forbes Global 2000 | 54 years old | San Jose +36 more
268,Capita,3.8,2k,52,14k,"Work Life Balance, Job Security",NaN,IT Services & Consulting | 5k-10k Employees | 18 years old | Indore +20 more
269,Alstom Transportation,3.9,2k,81,9.3k,Job Security,NaN,Engineering & Construction | 5k-10k Employees | Forbes Global 2000 | 95 years old | Saint-Ouen +60 more
270,AFCONS Infrastructure,4.4,2k,5,7k,"Job Security, Skill Development / Learning, Company Culture",NaN,Engineering & Construction | 5k-10k Employees | 64 years old | Mumbai +87 more
271,Suzlon Group,4.1,2k,15,7.7k,"Job Security, Skill Development / Learning, Company Culture",NaN,Power | 5k-10k Employees | Public | 28 years old | Pune +100 more
272,McDonald's,4.2,2k,20,5k,"Skill Development / Learning, Company Culture, Job Security",NaN,Hospitality | 5k-10k Employees | Forbes Global 2000 | 68 years old | Chicago +131 more
273,IGT Solutions,3.3,2k,98,10.2k,Promotions / Appraisal,NaN,IT Services & Consulting | 5k-10k Employees | 25 years old | Gurgaon/Gurugram +21 more
274,EY Global Delivery Services ( EY GDS),3.7,2k,--,6.2k,"Job Security, Skill Development / Learning",NaN,Accounting & Auditing | 50k-1 Lakh Employees | 21 years old | Bangalore/Bengaluru +38 more
